"Data Source","World Development Indicators",

"Last Updated Date","2019-10-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Australia","AUS","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","295730979506.534","307495591286.884","318217908001.229","337996914154.335","358247838989.113","377603546320.219","402330256116.179","424683432488.924","452744851839.05","478153359805.698","504273087064.197","530687021062.163","564353642750.787","590772135699.982","630538657738.468","664362022420.762","710075658834.739","761465504675.622","795980320105.904","874182196067.604","866384665680.351","937507114248.881","973601321979.203","1061628486313.88","1100545339758.17","1101970789896.61","1145490528190.1","1221573766769.27","1289650825647.35",
"Austria","AUT","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","149275155516.776","159634580985.146","166690625207.308","171538857189.149","179410467643.814","188059505212.909","195228382095.631","202580031580.043","212777732022.22","220639956878.73","235380338183.681","238978523638.302","251984858807.042","260767786871.326","275747014094.09","288086851811.747","311091706759.529","326780308348.043","343812802543","341463207034.964","351313540506.591","373031463577.163","391635006784.261","406370494341.228","417059741085.658","431078062957.755","451296980860.541","474006678908.77","491095423619.511",
"Azerbaijan","AZE","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40834005195.934","41919407119.7613","33185026919.4567","26123909256.6563","21425448184.6691","19293488450.5389","19902166071.333","21419588071.4327","23826736963.043","25959383713.638","29485605494.8621","33115452911.2803","36814442589.3418","41326042612.292","46365813601.922","61178516230.6651","84753921779.0742","109191450388.33","123105265351.815","135666041715.856","143819415016.803","144514131462.76","150530308332.391","162121327244.441","169809286511.658","173428480671.984","169952657554.227","172694683818.748","179084456637.153",
"Burundi","BDI","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3626173850.3099","3936123704.42168","4066485117.74049","3903070858.86788","3833736463.72135","3604124871.38036","3376508108.89853","3380120069.42473","3580526801.80692","3595537122.33734","3644416845.00507","3800919950.26834","4032723455.62584","4057348936.59096","4367979660.96991","4544576066.35819","4935584332.4416","5243118638.80639","5604967829.71422","5863029707.05719","6235280685.81154","6622226209.07379","7049349096.62083","7526274677.00125","7993864921.82035","7764251880.96948","7802059443.67198","7990111828.18982","8301036090.07078",
"Belgium","BEL","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","186978038235.921","196844590909.291","204412200671.513","207242414243.082","218498291340.925","228399756075.185","232496624669.734","243611797187.727","250626433550.588","262228511791.511","286916840094.712","297883567048.022","314972060002.29","322245645799.034","335956254161.343","349276733932.28","373252610614.767","391797554735.441","408408771079.89","410362086512.498","436389530012.347","455705357904.872","471332758408.878","486673712361.97","499974506819.426","514017159633.101","535003805213.394","562067818085.249","575291632773.203",
"Benin","BEN","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4725432531.09255","5091675350.84219","5361738968.52449","5809107864.61476","6053027795.35246","6553539803.01454","6962119839.28034","7488314621.71905","7872548624.39059","8412792261.35897","9104867683.6269","9800548296.39773","10417953196.5367","10976886724.6653","11771733647.5369","12346174782.237","13221847366.7047","14389813650.5525","15387048652.9215","15865494870.69","16389062381.1863","17227124154.8024","18403168244.25","20072483846.0733","21751324915.2883","22444661751.1489","23589730505.5703","25441421705.8239","27799325826.9269",
"Burkina Faso","BFA","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4827699204.42721","5443639510.40137","5580651692.95002","5910617497.12402","6116216340.6598","6601419932.84229","7462737430.9827","8070961929.8616","8758243881.27875","9542534476.50319","9933435559.65977","10822665275.3817","11472417139.3393","12597222687.4195","13515718505.7629","15143905206.0017","16577820504.1201","17985806825.9246","19673148440.3245","20410290546.1143","21757622183.4191","23684085089.3575","25695882514.049","27661401713.8171","29404232590.3505","30876071962.0185","33065973361.137","35817942700.8822","39010009432.6043",
"Bangladesh","BGD","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88749600891.1531","94948623287.0216","102397938820.378","109762882002.296","116467828998.516","124999672500.427","133045609060.228","141416454198.222","150411694361.6","159709224282.065","171922347377.898","184613791969.5","194722353165.517","207738921078.593","224509277788.544","246633495623.752","271050249008.957","297977713992.383","322042089167.179","340868464524.035","364054263430.399","395684471605.039","429572295870.227","463397075801.852","500782187753.784","539302677651.43","583982840524.261","638430000421.185","704165060865.658",
"Bulgaria","BGR","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65327943280.2048","61833420386.4534","58643304016.6369","59144114905.0347","61505273006.3167","64590988897.7715","56694173468.142","47351900363.8152","50706678031.1963","47352047384.3597","52108029153.0731","55334810117.7224","60553048408.1745","64870632794.9349","70399752807.375","78207906676.2954","85994548638.0222","96586488489.6612","107360830580.201","105309886462.34","110446857165.539","115193369520.725","118415443134.437","120390429621.992","126666719594.031","130542441643.186","138994877282.151","148228312438.607","154254381915.75",
"Bahrain","BHR","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11300252756.7533","12994333038.7279","14179593672.669","16383699982.7795","16691719895.527","17711455138.7323","18777028075.8529","19691605714.2152","20867083451.8051","22078602509.924","23768487537.0717","24894899423.1624","26202648046.6477","28297003932.6342","31087400073.0974","34225589367.3494","37542228462.227","41747513994.2087","45217457170.3899","46719347961.4997","49312348549.9056","51341141014.8994","54278716543.5849","58222865662.3168","61904895937.402","64357514489.7452","67319507670.3256","71208283857.5777","74108660120.7332",
